id_local,nom_lieu,ad_lieu,com_lieu,insee,date_maj,ouvert,source,Xlong,Ylat,num_dep,categorie_Aire de covoiturage
bfc_air_160,VIRY,,VIRY,71586.0,2020-10-27,FALSE,200053726.0,4.32905936502573,46.452,71,TRUE
bfc_air_161,ANTULLY,,ANTULLY,71010.0,2020-10-27,FALSE,200053726.0,4.37987144636486,46.91,71,TRUE
bfc_air_162,CHATILLON-SUR-SEINE,,CHATILLON-SUR-SEINE,21154.0,2020-10-27,FALSE,200053726.0,4.56643352883265,47.861,21,TRUE
bfc_air_163,ANCY-LE-FRANC,,ANCY-LE-FRANC,89005.0,2020-10-27,FALSE,200053726.0,4.15267691362719,47.773,89,TRUE
bfc_air_164,LAVAU,,LAVAU,89220.0,2020-10-27,FALSE,200053726.0,2.99102038832846,47.6,89,TRUE
bfc_air_165,GUEUGNON,,GUEUGNON,71230.0,2020-10-27,FALSE,200053726.0,4.03438811628616,46.594,71,TRUE
bfc_air_166,TONNERRE,,TONNERRE,89418.0,2020-10-27,FALSE,200053726.0,3.98994014931425,47.852,89,TRUE
bfc_air_167,BISSEY-LA-PIERRE,,BISSEY-LA-PIERRE,21078.0,2020-10-27,FALSE,200053726.0,4.42197011173402,47.855,21,TRUE
bfc_air_168,DIGOIN,,DIGOIN,71176.0,2020-10-27,FALSE,200053726.0,4.00319714292013,46.468,71,TRUE
bfc_air_169,COURSON-LES-CARRIERES,,COURSON-LES-CARRIERES,891250,2020-10-27,FALSE,200053726.0,3.49208953354995,47.63,89,TRUE
bfc_air_170,BANTANGES,,BANTANGES,71018.0,2020-10-27,FALSE,200053726.0,5.1166019170325,46.609,71,TRUE
bfc_air_171,SAINT-LEGER-LES-PARAY,,SAINT-LEGER-LES-PARAY,714390,2020-10-27,FALSE,200053726.0,4.14030748115208,46.475,71,TRUE
bfc_air_172,SUSSEY,,SUSSEY,21615.0,2020-10-27,FALSE,200053726.0,4.34938923290727,47.213,21,TRUE
bfc_air_173,SAINTE-HELENE,,SAINTE-HELENE,71426.0,2020-10-27,FALSE,200053726.0,4.64434075996012,46.745,71,TRUE
bfc_air_174,SOMBERNON,,SOMBERNON,21611.0,2020-10-27,FALSE,200053726.0,4.70731395925604,47.308,21,TRUE
bfc_air_175,CORDESSE,,CORDESSE,71144.0,2020-10-27,FALSE,200053726.0,4.3408353139113,47.038,71,TRUE
bfc_air_176,EQUEVILLON,,EQUEVILLON,39210.0,2020-10-27,FALSE,200053726.0,5.94383079197074,46.757,39,TRUE
bfc_air_177,MYENNES,,MYENNES,58187.0,2020-10-27,FALSE,200053726.0,2.94309446292101,47.439,58,TRUE
bfc_air_178,LEPUIX,,LEPUIX,90065.0,2020-10-27,FALSE,200053726.0,6.82603695761797,47.771,90,TRUE
bfc_air_179,POUILLY-EN-AUXOIS,,POUILLY-EN-AUXOIS,21501.0,2020-10-27,FALSE,200053726.0,4.55929350160107,47.253,21,TRUE
bfc_air_180,FLEYS,,FLEYS,89168.0,2020-10-27,FALSE,200053726.0,3.85149651199927,47.813,89,TRUE
bfc_air_181,LUZY,,LUZY,58149.0,2020-10-27,FALSE,200053726.0,3.97403597301757,46.788,58,TRUE
bfc_air_182,SAINT-DIDIER-SUR-ARROUX,,SAINT-DIDIER-SUR-ARROUX,71407.0,2020-10-27,FALSE,200053726.0,4.09648827704936,46.856,71,TRUE
bfc_air_183,BESSONCOURT,,BESSONCOURT,90012.0,2020-10-27,FALSE,200053726.0,6.91682918408845,47.644,90,TRUE
bfc_air_184,MIREBEL,,MIREBEL,39332.0,2020-10-27,FALSE,200053726.0,5.75472794519612,46.707,39,TRUE
bfc_air_185,BAUBIGNY,,BAUBIGNY,21050.0,2020-10-27,FALSE,200053726.0,4.65966313359009,47.007,21,TRUE
bfc_air_186,ESNON,,ESNON,89156.0,2020-10-27,FALSE,200053726.0,3.56865222590592,47.978,89,TRUE
bfc_air_187,GIVRY,,GIVRY,891900,2020-10-27,FALSE,200053726.0,3.79854476932217,47.518,89,TRUE
bfc_air_188,ROUVRAY,,ROUVRAY,21531.0,2020-10-27,FALSE,200053726.0,4.13088144635638,47.42,21,TRUE
bfc_air_189,CRAVANT,,CRAVANT,89130.0,2020-10-27,FALSE,200053726.0,3.65858851196284,47.69,89,TRUE
bfc_air_190,PONT-SUR-YONNE,,PONT-SUR-YONNE,89309.0,2020-10-27,FALSE,200053726.0,3.2049795411228,48.289,89,TRUE
bfc_air_191,VITTEAUX,,VITTEAUX,21710.0,2020-10-27,FALSE,200053726.0,4.52408198067611,47.416,21,TRUE
bfc_air_192,TAVERNAY,,TAVERNAY,71535.0,2020-10-27,FALSE,200053726.0,4.20780324601474,47.002,71,TRUE
bfc_air_193,MALVILLERS,,MALVILLERS,70329.0,2020-10-27,FALSE,200053726.0,5.78140482637792,47.74,70,TRUE
bfc_air_194,CHASSAGNE-MONTRACHET,,CHASSAGNE-MONTRACHET,21150.0,2020-10-27,FALSE,200053726.0,4.74192183403999,46.928,21,TRUE
bfc_air_195,IMPHY,,IMPHY,58134.0,2020-10-27,FALSE,200053726.0,3.27586325788783,46.926,58,TRUE
bfc_air_196,BEON,,BEON,89037.0,2020-10-27,FALSE,200053726.0,3.35332559456854,47.973,89,TRUE
bfc_air_197,VENAREY-LES-LAUMES,,VENAREY-LES-LAUMES,21663.0,2020-10-27,FALSE,200053726.0,4.44613916834053,47.555,21,TRUE
bfc_air_198,GY-L'EVEQUE,,GY-L'EVEQUE,89199.0,2020-10-27,FALSE,200053726.0,3.54473643153923,47.724,89,TRUE
bfc_air_199,ESSERTENNE-ET-CECEY,,ESSERTENNE-ET-CECEY,70220.0,2020-10-27,FALSE,200053726.0,5.45544279013859,47.395,70,TRUE
