UIC,Gare,Jour de la semaine,Horaire en jour normal,Horaire en jour férié
87185009,Vesoul,Jeudi,06:00-22:30,06:00-22:30
87184002,Belfort,Mardi,04:35-23:00,05:25-23:00
87185249,Lure,Vendredi,05:30-22:45,05:30-22:45
87185009,Vesoul,Lundi,06:00-22:30,06:00-22:30
87718239,Lons-le-Saunier,Vendredi,05:00-23:05,06:00-23:05
87718239,Lons-le-Saunier,Dimanche,06:00-23:05,06:00-23:05
87713131,Montbard,Lundi,05:45-22:00,06:45-22:10
87142000,Chaumont,Mercredi,05:40-21:30,11:00-20:30
87696005,Nevers,Mardi,04:00-22:15,04:00-23:00
87694687,Paray-le-Monial,Vendredi,05:15-22:10,09:00-22:10
87713859,Is-sur-Tille,Lundi,04:30-23:15,
87696146,Cosne-sur-Loire,Mercredi,05:10-22:45,07:00-22:45
87694620,Montceau-les-Mines,Vendredi,07:45-12:10,14:05-19:30
87694307,Montchanin,Vendredi,05:30-22:00,
87683003,Sens,Jeudi,04:00-00:15,10:00-20:00
